english,japanese
afraid,怖がって、恐れて
alive,生きている、活気のある
asleep,眠って
awful,ひどい、嫌な
comfortable,快適な、居心地の良い
crazy,おかしな、夢中の
dear,あら、まあ
fair,公平な、美しい
hurt,傷ついた
hurt,傷つける、痛む
lovely,美しい、素敵な
lucky,幸運な
nervous,緊張した、神経質な
pleased,喜んで、満足して
polite,礼儀正しい
scared,怖がって
scary,怖い、恐ろしい
secret,秘密の
serious,真剣な、深刻な
stupid,ばかな、愚かな
successful,成功した
surprised,驚いた
surprising,驚くべき
sweet,甘い、かわいい
unhappy,不幸な、悲しい
unusual,珍しい、普通でない
worried,心配した
active,活発な、積極的な
attractive,魅力的な
bright,明るい、頭の良い
brilliant,素晴らしい、優秀な
careful,注意深い
clever,賢い、器用な
creative,創造的な
helpful,役に立つ、親切な
independent,独立した
intelligent,知的な、賢い
lazy,怠惰な
rude,失礼な、無礼な
ankle,足首
blood,血液
bone,骨
brain,脳
finger,指
heart,心臓
knee,膝
neck,首
shoulder,肩
skin,皮膚
stomach,胃
dentist,歯医者
disease,病気
drug,薬物、薬
flu,インフルエンザ
headache,頭痛
ill,病気の
illness,病気
injury,けが、負傷
medical,医学の、医療の
medicine,薬、医学
pain,痛み
patient,患者
bean,豆
beef,牛肉
biscuit,ビスケット
jam,ジャム
lemon,レモン
nut,ナッツ
sauce,ソース
appetite,食欲
boil,茹でる、沸騰する
bowl,ボウル、器
chef,シェフ、料理人
cook,料理人
cooker,コンロ、調理器具
fork,フォーク
fridge,冷蔵庫
oven,オーブン
plate,皿
recipe,レシピ
spoon,スプーン
taste,味、味覚
taste,味わう
carpet,カーペット
cupboard,戸棚
furniture,家具
lamp,ランプ
mirror,鏡
roof,屋根
sheet,シーツ
towel,タオル
brush,ブラシ
brush,ブラシをかける
button,ボタン
lock,錠
lock,錠をかける
pack,荷造りする
tidy,きちんとした
tidy,片付ける
wash,洗うこと
washing,洗濯
belt,ベルト
clothing,衣類
jewellery,宝石類
pants,ズボン、パンツ
pocket,ポケット
shoe,靴
sock,靴下
suit,スーツ
tie,ネクタイ
tie,結ぶ
uniform,制服
gold,金の
gold,金
metal,金属
plastic,プラスチックの
plastic,プラスチック
silver,銀の
silver,銀
wooden,木製の
architect,建築家
assistant,助手、アシスタント
athlete,運動選手
author,著者
businessman,ビジネスマン
coach,コーチ
colleague,同僚
dentist,歯医者
designer,デザイナー
detective,探偵
director,監督、取締役
employee,従業員
employer,雇用主
engineer,エンジニア
hero,ヒーロー、英雄
instructor,指導者
journalist,ジャーナリスト
lawyer,弁護士
leader,リーダー
manager,マネージャー
musician,音楽家
officer,役員、警官
painter,画家
pilot,パイロット
president,大統領
professor,教授
reporter,記者
researcher,研究者
runner,ランナー
secretary,秘書
soldier,兵士
trainer,トレーナー
boss,上司
business,ビジネス、商売
career,職歴、キャリア
company,会社
department,部門
earn,稼ぐ
employ,雇用する
factory,工場
industry,産業
job,仕事
manage,管理する
organization,組織
pay,給料
professional,専門の
salary,給料
work,仕事
working,働いている
biology,生物学
chemistry,化学
education,教育
essay,エッセイ
experiment,実験
knowledge,知識
lab,実験室
learning,学習
lecture,講義
lecture,講義する
mathematics,数学
maths,数学
physics,物理学
research,研究
research,研究する
study,勉強
subject,科目
teaching,教育
apply,申し込む
attend,出席する
copy,コピー
copy,コピーする
exam,試験
explain,説明する
explanation,説明
instruction,指示
method,方法
practise,練習する
pronounce,発音する
test,テスト
app,アプリ
device,装置、機器
digital,デジタルの
download,ダウンロード
download,ダウンロードする
electronic,電子の
laptop,ノートパソコン
mobile,携帯電話
printer,プリンター
screen,画面
smartphone,スマートフォン
tablet,タブレット
web,ウェブ
electricity,電気
electric,電気の
electrical,電気の
engine,エンジン
equipment,設備
technology,技術
airline,航空会社
bicycle,自転車
bus,バス
motorcycle,オートバイ
railway,鉄道
ship,船
transport,交通、輸送
truck,トラック
van,バン
vehicle,乗り物
airport,空港
bridge,橋
driving,運転
fly,飛行
flying,飛行の
flying,飛行
fuel,燃料
lift,エレベーター
lorry,トラック
parking,駐車
passenger,乗客
petrol,ガソリン
route,ルート
station,駅
traffic,交通
traveller,旅行者
baseball,野球
basketball,バスケットボール
compete,競争する
competition,競争
golf,ゴルフ
hockey,ホッケー
race,レース
race,レースする
running,ランニング
sailing,セーリング
ski,スキーの
ski,スキー
ski,スキーをする
skiing,スキー
soccer,サッカー
sport,スポーツ
swim,泳ぐ
training,トレーニング
art,芸術
cartoon,漫画
classical,クラシックの
comedy,コメディ
drama,ドラマ
drawing,絵
film,撮影する
gallery,ギャラリー
jazz,ジャズ
joke,冗談
joke,冗談を言う
musical,音楽の
novel,小説
painting,絵画
photograph,写真を撮る
pop,ポップな
pop,ポップ
poster,ポスター
prize,賞
recording,録音
singing,歌唱
toy,おもちゃの
toy,おもちゃ
climate,気候
cloud,雲
coast,海岸
desert,砂漠
earth,地球
environment,環境
forest,森
grass,草
hill,丘
lake,湖
moon,月
nature,自然
ocean,海
planet,惑星
rock,岩
sky,空
stone,石
valley,谷
wave,波
wind,風
bear,熊
frog,カエル
insect,昆虫
monkey,猿
pet,ペット
spider,蜘蛛
farm,農業をする
farming,農業
plant,植える
wood,木材、森
ancient,古代の
daily,日々の
future,未来の
recent,最近の
recently,最近
regular,定期的な
season,季節
teenage,10代の
appointment,約束
arrangement,取り決め
calendar,カレンダー
conference,会議
diary,日記
event,出来事
meeting,会議
schedule,スケジュール
bank,銀行
cash,現金
coin,硬貨
cost,費用
credit,クレジット
penny,ペニー
per cent,パーセント
price,価格
sale,販売
advertise,宣伝する
advertisement,広告
advertising,広告業
bar,バー、棒
bin,ゴミ箱
can,缶
customer,顧客
market,市場
pub,パブ
shop,店
store,店
adult,大人の
couple,カップル
divorced,離婚した
female,女性の
female,女性
gentleman,紳士
guest,ゲスト
guy,男
human,人間の
human,人間
kid,子供
lady,女性
male,男性の
male,男性
marry,結婚する
relationship,関係
twin,双子の
twin,双子
wedding,結婚式
army,軍隊
celebrity,有名人
charity,慈善
church,教会
citizen,市民
community,共同体
crime,犯罪
criminal,犯罪者
culture,文化
government,政府
law,法律
media,メディア
national,国の
palace,宮殿
population,人口
prison,刑務所
public,公の
public,公衆
queen,女王
region,地域
sir,サー
social,社会の
society,社会
state,州、状態
tower,塔
tradition,伝統
traditional,伝統的な
united,団結した
war,戦争
ability,能力
advantage,利点
alternative,代替案
amount,量
attention,注意
attitude,態度
average,平均の
average,平均
background,背景
behaviour,行動
benefit,利益
birth,誕生
case,場合
cause,原因
chance,機会
character,性格
choice,選択
code,コード
condition,状態
context,文脈
data,データ
death,死
decision,決定
degree,程度
difference,違い
disaster,災害
discovery,発見
discussion,議論
distance,距離
document,文書
effect,効果
ending,結末
energy,エネルギー
error,エラー
evidence,証拠
example,例
experience,経験
factor,要因
fear,恐れ
feature,特徴
fiction,フィクション
figure,数字
focus,焦点
habit,習慣
hope,希望
ideal,理想的な
image,画像
individual,個人の
individual,個人
introduction,紹介
invention,発明
item,項目
knowledge,知識
laughter,笑い
level,レベル
lifestyle,ライフスタイル
luck,運
manner,方法
material,材料
matter,問題
memory,記憶
movement,動き
network,ネットワーク
noise,騒音
opportunity,機会
option,選択肢
pattern,パターン
peace,平和
permission,許可
personality,性格
possibility,可能性
power,力
process,過程
profile,プロフィール
program,プログラム
progress,進歩
promise,約束
purpose,目的
quality,質
quantity,量
rate,率
request,要求
response,応答
role,役割
scene,場面
sense,感覚
series,シリーズ
service,サービス
shape,形
site,サイト
size,サイズ
solution,解決策
source,源
step,ステップ
strategy,戦略
stress,ストレス
structure,構造
style,スタイル
suggestion,提案
support,支援
surprise,驚き
survey,調査
symbol,シンボル
system,システム
target,目標
task,課題
temperature,温度
term,用語
thinking,考え
thought,考え
tip,ヒント
tool,道具
tour,ツアー
tourism,観光業
track,軌跡
trouble,問題
understanding,理解
unit,単位
use,使用
user,ユーザー
value,価値
variety,多様性
view,見解
virus,ウイルス
voice,声
wait,待機
weight,重さ
welcome,歓迎
