english,japanese,audioUrl
prepare,準備する,
decide,決める,
choose,選ぶ,
accept,受け入れる,
refuse,拒否する,
improve,改善する,
suggest,提案する,
recommend,推薦する,
avoid,避ける,
achieve,達成する,
arrange,手配する,
cancel,キャンセルする,
confirm,確認する,
deliver,配達する,
organize,組織する,
plan,計画する,
realize,気づく,
receive,受け取る,
share,共有する,
waste,無駄にする,
anxious,不安な,
calm,穏やかな,
confident,自信のある,
disappointed,がっかりした,
embarrassed,恥ずかしい,
patient,忍耐強い,
proud,誇りに思う,
relaxed,リラックスした,
satisfied,満足した,
comfortable,快適な,
convenient,便利な,
necessary,必要な,
ordinary,普通の,
possible,可能な,
responsible,責任がある,
agree,同意する,
disagree,反対する,
argue,議論する,
complain,不平を言う,
discuss,話し合う,
express,表現する,
mention,言及する,
persuade,説得する,
promise,約束する,
warn,警告する,
advice,アドバイス,
opinion,意見,
reason,理由,
advantage,利点,
disadvantage,欠点,
apply,申し込む,
employ,雇用する,
hire,雇う,
interview,面接する,
promote,昇進させる,
retire,退職する,
contract,契約,
department,部門,
document,書類,
equipment,設備,
industry,産業,
investment,投資,
production,生産,
profit,利益,
competition,競争,
analyze,分析する,
concentrate,集中する,
consider,考慮する,
develop,発展させる,
examine,調べる,
investigate,調査する,
prove,証明する,
solve,解決する,
concept,概念,
theory,理論,
immediately,すぐに,
recently,最近,
eventually,最終的に,
gradually,徐々に,
suddenly,突然,
frequently,頻繁に,
occasionally,時折,
rarely,めったに～ない,
permanent,永久的な,
temporary,一時的な,
almost,ほとんど,
barely,かろうじて,
extremely,極めて,
fairly,かなり,
hardly,ほとんど～ない,
mainly,主に,
mostly,ほとんど,
nearly,ほぼ,
particularly,特に,
slightly,わずかに,
available,利用可能な,
general,一般的な,
popular,人気のある,
specific,具体的な,
typical,典型的な,
