english,japanese,audioUrl
alive,生きている、活気のある,
tie,結ぶ,
detective,探偵,
pleased,喜んで、満足して,
director,監督、取締役,
employee,従業員,
employer,雇用主,
instructor,指導者,
polite,礼儀正しい,
officer,役員、警官,
president,大統領,
professor,教授,
secretary,秘書,
trainer,トレーナー,
department,部門,
employ,雇用する,
scary,怖い、恐ろしい,
industry,産業,
chemistry,化学,
maths,数学,
physics,物理学,
research,研究する,
apply,申し込む,
attend,出席する,
explanation,説明,
instruction,指示,
pronounce,発音する,
asleep,眠って,
device,装置、機器,
electricity,電気,
electrical,電気の,
equipment,設備,
vehicle,乗り物,
lorry,トラック,
passenger,乗客,
compete,競争する,
competition,競争,
unusual,珍しい、普通でない,
sailing,セーリング,
attractive,魅力的な,
bright,明るい、頭の良い,
awful,ひどい、嫌な,
recent,最近の,
recently,最近,
appointment,約束,
arrangement,取り決め,
conference,会議,
credit,クレジット,
penny,ペニー,
advertise,宣伝する,
advertisement,広告,
advertising,広告業,
can,缶,
divorced,離婚した,
twin,双子の,
celebrity,有名人,
crime,犯罪,
government,政府,
rude,失礼な、無礼な,
population,人口,
public,公衆,
united,団結した,
comfortable,快適な、居心地の良い,
advantage,利点,
amount,量,
behaviour,行動,
decision,決定,
degree,程度,
difference,違い,
disaster,災害,
evidence,証拠,
feature,特徴,
figure,数字,
ideal,理想的な,
individual,個人の,
individual,個人,
introduction,紹介,
invention,発明,
laughter,笑い,
opportunity,機会,
quantity,量,
source,源,
structure,構造,
suggestion,提案,
survey,調査,
disease,病気,
variety,多様性,
flu,インフルエンザ,
headache,頭痛,
injury,けが、負傷,
appetite,食欲,
fridge,冷蔵庫,
oven,オーブン,
tidy,きちんとした,
